year1,Homicidios_mujeres,,year2,Feminicidios,,year3,Otros_tipos,,year,estado,feminicidios,,,year4,index_state,feminicidios
,,,,,,,,,2020,Ciudad de México,78,,1995.xlsx,1995,4,10
,,,,,,,,,2020,Coahuila de Zaragoza,24,,1995.xlsx,1995,5,14
,,,,,,,,,2020,Colima,7,,1995.xlsx,1995,6,6
,,,,,,,,,2020,Durango,12,,1995.xlsx,1995,7,72
,,,,,,,,,2020,Guanajuato,19,,1995.xlsx,1995,8,74
,,,,,,,,,2020,Guerrero,13,,1995.xlsx,1995,9,110
,,,,,,,,,2020,Hidalgo,19,,1995.xlsx,1995,10,16
,,,,,,,,,2020,Jalisco,70,,1995.xlsx,1995,11,30
,,,,,,,,,2020,México,151,,1995.xlsx,1995,12,83
,,,,,,,,,2020,Michoacán de Ocampo,21,,1995.xlsx,1995,13,22
,,,,,,,,,2020,Morelos,35,,1995.xlsx,1995,14,72
,,,,,,,,,2020,Nayarit,12,,1995.xlsx,1995,15,415
,,,,,,,,,2020,Nuevo León,67,,1995.xlsx,1995,16,81
,,,,,,,,,2020,Oaxaca,36,,1995.xlsx,1995,17,35
,,,,,,,,,2020,Puebla,52,,1995.xlsx,1995,18,19
,,,,,,,,,2020,Querétaro,11,,1995.xlsx,1995,19,16
,,,,,,,,,2020,Quintana Roo,15,,1995.xlsx,1995,20,109
,,,,,,,,,2020,San Luis Potosí,27,,1995.xlsx,1995,21,73
,,,,,,,,,2020,Sinaloa,26,,1995.xlsx,1995,22,6
,,,,,,,,,2020,Sonora,30,,1995.xlsx,1995,23,9
,,,,,,,,,2020,Tabasco,15,,1995.xlsx,1995,24,21
,,,,,,,,,2020,Tamaulipas,11,,1995.xlsx,1995,25,27
,,,,,,,,,2020,Tlaxcala,8,,1995.xlsx,1995,26,18
,,,,,,,,,2020,Veracruz de Ignacio de la Llave,73,,1995.xlsx,1995,27,24
,,,,,,,,,2020,Yucatán,6,,1995.xlsx,1995,28,29
,,,,,,,,,2020,Zacatecas,10,,1995.xlsx,1995,29,7
,,,,,,,,,2021,Aguascalientes,9,,1995.xlsx,1995,30,60
,,,,,,,,,2021,Baja California,20,,1995.xlsx,1995,31,6
,,,,,,,,,2021,Baja California Sur,7,,1995.xlsx,1995,32,11
,,,,,,,,,2021,Campeche,7,,,,,
,,,,,,,,,2021,Chiapas,46,,1996.xlsx,1996,1,4
,,,,,,,,,2021,Chihuahua,44,,1996.xlsx,1996,2,40
,,,,,,,,,2021,Ciudad de México,68,,1996.xlsx,1996,3,3
,,,,,,,,,2021,Coahuila de Zaragoza,22,,1996.xlsx,1996,4,8
,,,,,,,,,2021,Colima,4,,1996.xlsx,1996,5,11
,,,,,,,,,2021,Durango,10,,1996.xlsx,1996,6,5
,,,,,,,,,2021,Guanajuato,30,,1996.xlsx,1996,7,65
,,,,,,,,,2021,Guerrero,17,,1996.xlsx,1996,8,77
,,,,,,,,,2021,Hidalgo,21,,1996.xlsx,1996,9,111
,,,,,,,,,2021,Jalisco,73,,1996.xlsx,1996,10,6
,,,,,,,,,2021,México,145,,1996.xlsx,1996,11,27
,,,,,,,,,2021,Michoacán de Ocampo,28,,1996.xlsx,1996,12,78
,,,,,,,,,2021,Morelos,23,,1996.xlsx,1996,13,11
,,,,,,,,,2021,Nayarit,7,,1996.xlsx,1996,14,71
,,,,,,,,,2021,Nuevo León,66,,1996.xlsx,1996,15,408
,,,,,,,,,2021,Oaxaca,43,,1996.xlsx,1996,16,114
,,,,,,,,,2021,Puebla,37,,1996.xlsx,1996,17,37
,,,,,,,,,2021,Querétaro,9,,1996.xlsx,1996,18,12
,,,,,,,,,2021,Quintana Roo,25,,1996.xlsx,1996,19,13
,,,,,,,,,2021,San Luis Potosí,24,,1996.xlsx,1996,20,104
,,,,,,,,,2021,Sinaloa,40,,1996.xlsx,1996,21,56
,,,,,,,,,2021,Sonora,42,,1996.xlsx,1996,22,15
,,,,,,,,,2021,Tabasco,15,,1996.xlsx,1996,23,7
,,,,,,,,,2021,Tamaulipas,5,,1996.xlsx,1996,24,19
,,,,,,,,,2021,Tlaxcala,10,,1996.xlsx,1996,25,19
,,,,,,,,,2021,Veracruz de Ignacio de la Llave,68,,1996.xlsx,1996,26,22
,,,,,,,,,2021,Yucatán,5,,1996.xlsx,1996,27,15
,,,,,,,,,2021,Zacatecas,11,,1996.xlsx,1996,28,25
,,,,,,,,,2022,Aguascalientes,10,,1996.xlsx,1996,29,12
,,,,,,,,,2022,Baja California,26,,1996.xlsx,1996,30,45
,,,,,,,,,2022,Baja California Sur,6,,1996.xlsx,1996,31,5
,,,,,,,,,2022,Campeche,11,,1996.xlsx,1996,32,12
,,,,,,,,,2022,Chiapas,44,,,,,
,,,,,,,,,2022,Chihuahua,43,,1997.xlsx,1997,1,3
,,,,,,,,,2022,Ciudad de México,75,,1997.xlsx,1997,2,26
,,,,,,,,,2022,Coahuila de Zaragoza,24,,1997.xlsx,1997,3,1
,,,,,,,,,2022,Colima,18,,1997.xlsx,1997,4,8
,,,,,,,,,2022,Durango,18,,1997.xlsx,1997,5,16
,,,,,,,,,2022,Guanajuato,21,,1997.xlsx,1997,6,4
,,,,,,,,,2022,Guerrero,12,,1997.xlsx,1997,7,71
,,,,,,,,,2022,Hidalgo,19,,1997.xlsx,1997,8,74
,,,,,,,,,2022,Jalisco,38,,1997.xlsx,1997,9,116
,,,,,,,,,2022,México,138,,1997.xlsx,1997,10,13
,,,,,,,,,2022,Michoacán de Ocampo,43,,1997.xlsx,1997,11,19
,,,,,,,,,2022,Morelos,32,,1997.xlsx,1997,12,84
,,,,,,,,,2022,Nayarit,2,,1997.xlsx,1997,13,21
,,,,,,,,,2022,Nuevo León,102,,1997.xlsx,1997,14,56
,,,,,,,,,2022,Oaxaca,41,,1997.xlsx,1997,15,379
,,,,,,,,,2022,Puebla,20,,1997.xlsx,1997,16,65
,,,,,,,,,2022,Querétaro,12,,1997.xlsx,1997,17,21
,,,,,,,,,2022,Quintana Roo,14,,1997.xlsx,1997,18,9
,,,,,,,,,2022,San Luis Potosí,12,,1997.xlsx,1997,19,20
,,,,,,,,,2022,Sinaloa,20,,1997.xlsx,1997,20,87
,,,,,,,,,2022,Sonora,35,,1997.xlsx,1997,21,50
,,,,,,,,,2022,Tabasco,17,,1997.xlsx,1997,22,18
,,,,,,,,,2022,Tamaulipas,19,,1997.xlsx,1997,23,12
,,,,,,,,,2022,Tlaxcala,4,,1997.xlsx,1997,24,9
,,,,,,,,,2022,Veracruz de Ignacio de la Llave,67,,1997.xlsx,1997,25,26
,,,,,,,,,2022,Yucatán,5,,1997.xlsx,1997,26,20
,,,,,,,,,2022,Zacatecas,15,,1997.xlsx,1997,27,20
,,,,,,,,,,,,,1997.xlsx,1997,28,24
,,,,,,,,,,,,,1997.xlsx,1997,29,9
,,,,,,,,,,,,,1997.xlsx,1997,30,69
,,,,,,,,,,,,,1997.xlsx,1997,31,6
,,,,,,,,,,,,,1997.xlsx,1997,32,9
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,1998.xlsx,1998,1,12
,,,,,,,,,,,,,1998.xlsx,1998,2,60
,,,,,,,,,,,,,1998.xlsx,1998,3,5
,,,,,,,,,,,,,1998.xlsx,1998,4,8
,,,,,,,,,,,,,1998.xlsx,1998,5,21
,,,,,,,,,,,,,1998.xlsx,1998,6,14
,,,,,,,,,,,,,1998.xlsx,1998,7,103
,,,,,,,,,,,,,1998.xlsx,1998,8,76
,,,,,,,,,,,,,1998.xlsx,1998,9,147
,,,,,,,,,,,,,1998.xlsx,1998,10,19
,,,,,,,,,,,,,1998.xlsx,1998,11,32
,,,,,,,,,,,,,1998.xlsx,1998,12,104
,,,,,,,,,,,,,1998.xlsx,1998,13,19
,,,,,,,,,,,,,1998.xlsx,1998,14,64
,,,,,,,,,,,,,1998.xlsx,1998,15,351
,,,,,,,,,,,,,1998.xlsx,1998,16,58
,,,,,,,,,,,,,1998.xlsx,1998,17,23
,,,,,,,,,,,,,1998.xlsx,1998,18,6
,,,,,,,,,,,,,1998.xlsx,1998,19,16
,,,,,,,,,,,,,1998.xlsx,1998,20,80
,,,,,,,,,,,,,1998.xlsx,1998,21,75
,,,,,,,,,,,,,1998.xlsx,1998,22,3
,,,,,,,,,,,,,1998.xlsx,1998,23,12
